year,section,title,title_norm,is_canonical,in_dataset
2006,singles,Impossible,impossible,False,True
2018,singles,I Love It,i love it,False,True
2012,singles,White Dress,white dress,False,True
2014,singles,Only One,only one,False,True
2015,singles,All Day,all day,False,True
2018,singles,Freaky Girl Edit,freaky girl edit,False,True
2015,singles,FourFiveSeconds,fourfiveseconds,False,True
2008,singles,Billie Jean (2008 Kanye West Mix),billie jean 2008 kanye west mix,False,True
2018,singles,Lift Yourself,lift yourself,False,True
2018,singles,XTCY,xtcy,False,True
2026,singles,no AI,no ai,False,False
2015,singles,Facts,facts,False,True
2018,singles,Ye vs. the People,ye vs the people,False,True
2012,singles,Way Too Cold,way too cold,False,True
2012,singles,Theraflu,theraflu,False,True
