album,album_release_year,is_collab,source,score_raw,score_normalized_100,review_date,reviewer_name,review_url,review_word_count,review_text_excerpt,fetch_timestamp,parser_note
The College Dropout,2004,False,metacritic,87/100 (25 critics),87.0,,,https://www.metacritic.com/music/college-dropout/kanye-west,0,,2026-05-10T22:04:57Z,
The College Dropout,2004,False,pitchfork_original,8.2/10,82.0,2004-02-20,Rob  Mitchum,https://pitchfork.com/reviews/albums/8767-the-college-dropout/,1077,"College Dropout Mini-Course Syllabus Week 1: Allow Myself to Introduce Myself. Backstory. Discuss humble beginnings making beats in bedroom, car accident in October 2002 that nearly killed him. Consider rise to fame: Currently has three singles in the Top 20 (""Slow Jamz"", ""You Don't Know My Name"", ""Through the Wire"") …",2026-05-10T22:04:57Z,
The College Dropout,2004,False,pitchfork_retrospective,no_retrospective,,,,https://pitchfork.com/reviews/albums/,0,,2026-05-10T22:04:57Z,No Pitchfork Sunday Review / retrospective slug discovered for this title (manual archive search).
The College Dropout,2004,False,rolling_stone,3.5/5,70.0,2004-03-04,Jon Caramanica,https://www.rollingstone.com/music/albumreviews/college-dropout-20040314,312,"Jon Caramanica Kanye West has made his name by letting his production — not his voice — do the talking for him. As the man behind Jay-Z ‘s “Izzo (H.O.V.A.)” and Scarface’s “Guess Who’s Back,” he has perfected a warm, almost sentimental brand of hip-hop, using bright, soulful beats and …",2026-05-10T22:04:57Z,
Late Registration,2005,False,metacritic,85/100 (31 critics),85.0,,,https://www.metacritic.com/music/late-registration/kanye-west,0,,2026-05-10T22:04:57Z,
Late Registration,2005,False,pitchfork_original,9.5/10,95.0,2005-08-28,Sean Fennessey,https://pitchfork.com/reviews/albums/8768-late-registration,843,"""Can I talk my shit again?"" Contrary to popular opinion, hubris does have a righteous appeal. Those who claim Kanye West's antics hinder his work are missing the point. His self-importance is obvious, but the arrogance that comes pre-packaged with his insecurity is what makes West the most interesting hip-hop …",2026-05-10T22:04:57Z,
Late Registration,2005,False,pitchfork_retrospective,no_retrospective,,,,https://pitchfork.com/reviews/albums/,0,,2026-05-10T22:04:57Z,No Pitchfork Sunday Review / retrospective slug discovered for this title (manual archive search).
Late Registration,2005,False,rolling_stone,5/5,100.0,2005-09-08,Rob Sheffield,https://www.rollingstone.com/music/albumreviews/late-registration-20050825,751,"Rob Sheffield If anything, Kanye West is too modest. Yeah, he’s got an ego or two — he’s liable to compare himself to Michael Jordan, Muhammad Ali, Bill Gates and Prince , sometimes in the same sentence. But he pours all that ego into musical ambition. As he says, “I …",2026-05-10T22:04:57Z,
Graduation,2007,False,metacritic,79/100 (32 critics),79.0,,,https://www.metacritic.com/music/graduation/kanye-west,0,,2026-05-10T22:04:57Z,
Graduation,2007,False,pitchfork_original,8.7/10,87.0,2007-09-11,Mark Pytlik,https://pitchfork.com/reviews/albums/10658-graduation,885,"While rap music famously thrives on the kind of drama surrounding this week's 50 vs. Kanye record-sales standoff, even this showdown's closest followers would probably admit there's something faintly procedural about it. Maybe it's because album sales don't really work as a precise measure of absolute popularity anymore. Maybe it's …",2026-05-10T22:04:57Z,
Graduation,2007,False,pitchfork_retrospective,no_retrospective,,,,https://pitchfork.com/reviews/albums/,0,,2026-05-10T22:04:57Z,No Pitchfork Sunday Review / retrospective slug discovered for this title (manual archive search).
Graduation,2007,False,rolling_stone,4.5/5,90.0,2007-09-20,Nathan Brackett,https://www.rollingstone.com/music/albumreviews/graduation-20070904,297,"Nathan Brackett There is no bigger lie on Graduation than when Kanye West claims he doesn’t “try hard,” as he does on the single “Can’t Tell Me Nothing.” West tries extremely hard at everything he does. And unlike his hip-hop and rock peers – most of whom want Grammys and …",2026-05-10T22:04:57Z,
808s & Heartbreak,2008,False,metacritic,75/100 (36 critics),75.0,,,https://www.metacritic.com/music/808s-heartbreak/kanye-west,0,,2026-05-10T22:04:57Z,
808s & Heartbreak,2008,False,pitchfork_original,7.6/10,76.0,2008-12-02,Scott Plagenhoef,https://pitchfork.com/reviews/albums/12498-808s-and-heartbreak,1282,"Poor Kanye West. The guy was already a ball of conflicts and contradictions—hand-wringing over his consumption one moment, boasting about his wealth the next. He’s someone as driven by ego as he is plagued by doubt—in other words, a wholly human pop star. This year, however, was particularly rough: He …",2026-05-10T22:04:57Z,
808s & Heartbreak,2008,False,pitchfork_retrospective,no_retrospective,,,,https://pitchfork.com/reviews/albums/,0,,2026-05-10T22:04:57Z,No Pitchfork Sunday Review / retrospective slug discovered for this title (manual archive search).
808s & Heartbreak,2008,False,rolling_stone,3.5/5,70.0,2008-12-11,Jody Rosen,https://www.rollingstone.com/music/albumreviews/808s-heartbreak-20081211,656,Jody Rosen Kanye West announced long ago that mere hip-hop superstardom was not enough for him — he wanted to be “the number one artist in the world.” So it’s no surprise that his untrammeled egotism has led him well beyond the usual limits of his genre. With Kanye largely …,2026-05-10T22:04:57Z,
My Beautiful Dark Twisted Fantasy,2010,False,metacritic,94/100 (45 critics),94.0,,,https://www.metacritic.com/music/my-beautiful-dark-twisted-fantasy/kanye-west,0,,2026-05-10T22:04:57Z,
My Beautiful Dark Twisted Fantasy,2010,False,pitchfork_original,10/10,100.0,2010-11-22,Ryan Dombal,https://pitchfork.com/reviews/albums/14880-my-beautiful-dark-twisted-fantasy,1764,"Kanye West’s 35-minute super-video, Runaway, peaks with a parade. Fireworks flash while red hoods march through a field. At the center of the spectacle is a huge, pale, cartoonish rendering of Michael Jackson’s head. My Beautiful Dark Twisted Fantasy’s gargantuan “All of the Lights” soundtracks the procession, with Kanye pleading, …",2026-05-10T22:04:57Z,
My Beautiful Dark Twisted Fantasy,2010,False,pitchfork_retrospective,no_retrospective,,,,https://pitchfork.com/reviews/albums/,0,,2026-05-10T22:04:57Z,No Pitchfork Sunday Review / retrospective slug discovered for this title (manual archive search).
My Beautiful Dark Twisted Fantasy,2010,False,rolling_stone,5/5,100.0,2010-11-25,Rob Sheffield,https://www.rollingstone.com/music/music-album-reviews/my-beautiful-dark-twisted-fantasy-120679/,640,"Rob Sheffield When Kanye West sings about “jerk-offs that’ll never take work off,” you’d best believe he means himself. Being crazy is this guy’s job, and judging from the sound of his music, business is booming. My Beautiful Dark Twisted Fantasy is his most maniacally inspired music yet, coasting on …",2026-05-10T22:04:57Z,
Watch the Throne with Jay-Z,2011,True,metacritic,76/100 (42 critics),76.0,,,https://www.metacritic.com/music/watch-the-throne/kanye-west,0,,2026-05-10T22:04:57Z,
Watch the Throne with Jay-Z,2011,True,pitchfork_original,8.5/10,85.0,2011-08-11,Tom Breihan,https://pitchfork.com/reviews/albums/15725-watch-the-throne,1063,"Watch the Throne features the following things: absurdly expensive samples, a pair of choruses from Odd Future R&B singer Frank Ocean at the exact moment where he's turning the corner and becoming a Thing, another chorus from long-been-a-Thing Beyoncé, a buddy-buddy shoutout to the President of the United States, multiple …",2026-05-10T22:04:57Z,
Watch the Throne with Jay-Z,2011,True,pitchfork_retrospective,no_retrospective,,,,https://pitchfork.com/reviews/albums/,0,,2026-05-10T22:04:57Z,No Pitchfork Sunday Review / retrospective slug discovered for this title (manual archive search).
