era_clean,distinctive_words
Pre-Dropout era,falls; ugly; busters; boosters; showin'; tellin'; westside; c'mon; hustlers; conscious; doctor; cruise
The College Dropout,workout; tha; gettin; gangstas; naw; twista; hecky; shorty; overnight; celebrity; thang; killa
Late Registration,wha; phi; la; testify; digger; breaking; major; nothing's; crack; dreamin'; count; naw
Graduation,study; stronger; faster; 's; harder; begin; south; brother; makes; la; biggs'; generally
808s & Heartbreak,lockdown; amazing; heartless; hoo; coldest; ii; billie; hont; loving; hade; yuragani; spinning
Post-808s feature run,hollywood; boyfriends; wants; isn't; poke; pa; screen; eh; dangerous; ego; pyong; shawty
G.O.O.D. Fridays + MBDTF,alors; blazin'; toast; danse; ridiculous; gossip; century; concert; mmm; profit; letting; vroom
Watch the Throne,banjo; motion; murder; buffalo; clocks; zone; lift; cray; goo; 'bachs; ponchatoula; zero
Cruel Summer + Yeezus build-up,embarrass; theraflu; dragging; flaws; peta; detest; parachute; parakeet; mink; mothafuckin'; flyer; jockin'
Yeezus,dem; gwaan; piss; bound; noth; grave; timbuck; blocka; nike; alcohol; mula; hampton
The Life of Pablo,bom; castro; parties; highlights; grrah; tiimmy; nori; pablo; panda; jlo; cubans; liberated
Quiet year,chilly; usher; raymond; dealy; round; coogi; dealership; glow; highest; neighborhood; la; chain
Wyoming Sessions (ye / KSG),gat; ecstasy; whoop; ga; ba; scoop; menacin'; hmm; tweakin'; grrrat; poop; brothers
Jesus Is King,comes; plannin'; stretch; strike; sing; fil; harm's; gospel; millisecond; jezebel; theyself; overthrow
Donda,junya; watanabe; wri'; donda; grrat; grid; remote; breathed; liars; mm; priors; sparkle
Donda 2,daylight; virgil; bags; fi; buying; im; security; fun; wi; pablo; groggy; fortunate
Vultures 1 + Vultures 2,hoodrat; doo; apologies; friday; haan; missin'; ai; butt; burnin'; doot; israel; titty
Bully build-up + Cuck/IAPW controversy,circles; works; puss'; quran; showtime; lows; baow; art; melrose; allah; highs; audience
