era_rank,era_clean,n_tracks,total_words,total_lines,sent_mean,sent_volatility,pct_pos_lines,pct_neg_lines,avg_ttr,avg_mtld,avg_word_len,avg_syllables,fk_grade,pct_three_plus_syl
0,Pre-Dropout era,7,3019,357,0.011,0.33,0.308,0.214,0.502,62.489,3.84,1.23,2.263,0.034
1,The College Dropout,25,10115,1417,0.051,0.265,0.254,0.141,0.43,49.666,3.828,1.221,1.8,0.036
2,Late Registration,43,14657,2052,0.011,0.281,0.221,0.16,0.453,45.161,3.81,1.231,1.84,0.037
3,Graduation,18,7874,1191,0.034,0.292,0.271,0.194,0.429,41.907,3.803,1.212,1.509,0.032
4,808s & Heartbreak,24,7197,1068,0.057,0.318,0.318,0.208,0.393,34.196,3.849,1.238,1.743,0.045
5,Post-808s feature run,17,3681,509,0.029,0.313,0.297,0.202,0.605,71.458,3.9,1.249,2.134,0.04
6,G.O.O.D. Fridays + MBDTF,18,6274,806,-0.016,0.315,0.242,0.271,0.487,45.274,4.049,1.301,3.658,0.054
7,Watch the Throne,20,6258,754,-0.027,0.327,0.234,0.267,0.524,59.93,3.866,1.243,2.287,0.04
8,Cruel Summer + Yeezus build-up,17,5156,665,-0.055,0.299,0.202,0.253,0.509,51.879,4.071,1.306,2.839,0.049
9,Yeezus,24,6824,997,0.003,0.323,0.254,0.229,0.473,41.673,3.933,1.27,2.168,0.043
10,The Life of Pablo,27,9536,1313,0.026,0.32,0.281,0.208,0.455,43.606,3.895,1.26,2.121,0.042
11,Quiet year,4,967,124,0.014,0.349,0.273,0.235,0.507,38.945,3.928,1.244,2.595,0.043
12,Wyoming Sessions (ye / KSG),26,5737,786,0.007,0.333,0.272,0.244,0.512,40.193,3.824,1.211,1.634,0.041
13,Jesus Is King,12,3422,486,0.092,0.248,0.3,0.094,0.46,37.832,4.092,1.316,2.716,0.06
14,Donda,32,10228,1437,0.07,0.254,0.288,0.127,0.438,32.97,3.915,1.274,2.261,0.047
15,Donda 2,23,6302,898,0.069,0.283,0.301,0.171,0.42,31.699,3.906,1.255,1.991,0.045
16,Vultures 1 + Vultures 2,39,8778,1248,0.014,0.307,0.264,0.222,0.488,41.687,3.832,1.231,1.886,0.04
17,Bully build-up + Cuck/IAPW controversy,21,5303,779,0.02,0.28,0.218,0.17,0.43,40.722,3.96,1.272,1.99,0.044
