era_clean,top_words
Pre-Dropout era,bad:30; good:28; i'm:24; falls:22; ugly:19; ain't:16; gon':15; man:14; tellin':13; right:13; make:11; 'cause:11; that's:11; it's:11; showin':11; chi:10; can't:10; don't:9; fuck:9; love:9
The College Dropout,i'm:86; don't:76; ain't:58; say:56; can't:51; way:49; man:42; that's:36; right:32; it's:31; girl:30; live:30; said:26; gon':26; work:26; step:26; 'em:25; y'all:24; tell:23; high:23
Late Registration,i'm:108; ain't:69; broke:69; say:67; make:67; come:62; don't:61; it's:59; want:56; that's:53; girl:52; can't:50; music:49; better:47; forever:47; man:44; right:44; baby:44; gon':42; shit:40
Graduation,i'm:59; can't:58; good:47; south:44; don't:42; right:42; stay:40; life:36; told:35; 'cause:31; that's:30; brother:30; shit:28; drunk:27; it's:25; girls:24; man:24; night:24; study:24; say:23
808s & Heartbreak,don't:132; i'm:97; stop:93; love:59; amazing:59; it's:53; baby:35; can't:33; hoo:30; say:28; way:27; ooh:26; okay:23; girls:22; fly:22; things:22; real:22; time:21; think:21; lockdown:21
Post-808s feature run,i'm:32; want:32; big:23; don't:19; baby:19; it's:15; ugh:15; right:14; isn't:14; you're:13; home:13; screen:13; hollywood:13; make:12; wants:12; ain't:11; girl:11; love:10; everybody:9; 'cause:9
G.O.O.D. Fridays + MBDTF,i'm:92; lights:34; fuckin':33; need:29; life:28; say:27; look:27; night:25; shit:24; fuck:23; fast:23; hands:22; i'ma:22; don't:22; mmm:22; live:21; love:21; can't:20; run:20; ain't:19
Watch the Throne,i'm:73; black:45; it's:39; don't:29; ain't:27; said:25; shit:24; that's:22; gon':22; hold:21; touch:21; slow:20; 'cause:18; time:18; motion:18; new:17; let:17; need:17; kiss:17; murder:17
Cruel Summer + Yeezus build-up,fuck:46; i'm:37; don't:27; baby:23; bitch:22; embarrass:21; girl:21; you're:21; wish:20; ass:19; talk:18; i'll:17; 'bout:17; tell:16; think:16; woah:16; that's:15; 'cause:15; come:14; need:14
Yeezus,i'm:93; don't:67; ain't:51; that's:49; yeezy:32; new:32; fuck:31; god:31; need:30; hope:29; can't:27; ooh:26; girl:26; shit:23; love:23; it's:23; black:23; bitch:23; pussy:22; ass:21
The Life of Pablo,i'm:103; don't:45; tell:41; day:40; bitch:37; ain't:37; feel:37; shit:35; kanye:31; it's:30; yeezy:30; right:29; time:28; money:28; need:27; bom:27; love:25; man:24; real:24; good:22
Quiet year,feel:18; chilly:16; i'm:15; it's:11; usher:10; raymond:10; chain:10; time:7; don't:6; shit:5; watch:5; highest:4; level:4; dealership:4; what's:4; dealy:4; coogi:4; glow:4; haters:3; need:3
Wyoming Sessions (ye / KSG),love:56; i'm:51; don't:47; woah:33; gat:31; feel:28; whoop:26; fuck:24; brothers:23; shit:23; that's:22; forever:21; ecstasy:21; ain't:20; we'll:18; say:18; 'cause:18; ooh:18; light:18; new:18
Jesus Is King,god:35; lord:34; hands:33; sing:32; jesus:31; ain't:28; 'til:26; need:24; power:23; comes:21; i'm:18; don't:15; life:13; let:13; love:11; right:10; man:9; use:9; christ:9; hah:9
Donda,donda:68; lord:67; god:66; don't:65; i'm:63; jesus:59; tell:53; life:51; okay:44; it's:43; did:40; let:37; guess:34; come:34; grid:33; gon':32; who's:32; goin':31; ain't:31; tonight:31
Donda 2,don't:69; i'm:66; time:57; need:48; love:45; away:37; louis:34; ain't:32; long:32; it's:27; set:26; daylight:25; virgil:25; free:24; goddamn:24; passed:24; stopped:23; bags:23; buying:22; right:21
Vultures 1 + Vultures 2,don't:92; i'm:76; hoodrat:68; bitch:47; love:42; ain't:40; ooh:36; let:31; it's:29; can't:29; time:28; did:26; tell:25; let's:25; apologies:25; paid:22; alive:21; night:21; today:21; doo:21
Bully build-up + Cuck/IAPW controversy,i'm:72; it's:39; time:39; love:32; don't:31; right:22; works:21; away:19; come:19; king:18; circles:18; way:16; want:15; life:15; can't:15; pain:15; holy:13; hold:13; let:12; left:12
