track_id,track_title,era_clean,era_rank,year,release_date_clean,line_index,line_text,vader_compound,vader_pos,vader_neu,vader_neg,roberta_label,roberta_pos,roberta_neu,roberta_neg,emotion_label,emotion_joy,emotion_anger,emotion_sadness,emotion_fear,emotion_disgust,emotion_surprise,emotion_neutral,entities,entity_count,persons_named
live_from_irving_plaza_pre_dropout_era,Live from Irving Plaza,Pre-Dropout era,0,2003,2003-01-01,0,"Alright. In case y'all don't know,",0.25,0.286,0.714,0.0,neutral,0.2555,0.7038,0.0406,neutral,0.0067,0.0545,0.0096,0.014,0.0493,0.0027,0.8632,[],0,[]
live_from_irving_plaza_pre_dropout_era,Live from Irving Plaza,Pre-Dropout era,0,2003,2003-01-01,1,"he did ""H to the Izzo"", he did ""Takeover"", he did ""Guess Who's Back"", he did my joint ""Good to You"", he did ""Turn Out The Lights"".",0.4404,0.1,0.9,0.0,neutral,0.3417,0.6534,0.005,neutral,0.1954,0.0178,0.0102,0.0035,0.0109,0.0978,0.6645,"[[""Guess Who's Back"", ""WORK_OF_ART""], [""Good to You"", ""WORK_OF_ART""], [""Turn Out The Lights"", ""WORK_OF_ART""]]",3,[]
live_from_irving_plaza_pre_dropout_era,Live from Irving Plaza,Pre-Dropout era,0,2003,2003-01-01,2,"Give it up for my nigga Kanye West, you know what I'm saying? Now Kanye, y'all also don't know my man got skills, he's a rapper, he's on my projects, so I want him to bust a verse, can we let my man bust a verse? What's up Kanye, what's up?",0.2774,0.041,0.959,0.0,neutral,0.3772,0.5384,0.0845,anger,0.011,0.5343,0.0227,0.0238,0.1142,0.1454,0.1485,"[[""Kanye West"", ""PERSON""], [""Kanye"", ""PERSON""], [""Kanye"", ""ORG""]]",3,"[""Kanye West"", ""Kanye""]"
live_from_irving_plaza_pre_dropout_era,Live from Irving Plaza,Pre-Dropout era,0,2003,2003-01-01,3,"(They gonna play my beat, they gonna play my beat?)",0.5859,0.375,0.625,0.0,neutral,0.1831,0.7936,0.0233,anger,0.1194,0.4358,0.0158,0.0419,0.1472,0.0822,0.1578,[],0,[]
live_from_irving_plaza_pre_dropout_era,Live from Irving Plaza,Pre-Dropout era,0,2003,2003-01-01,4,"Yeah, yeah, chops, listen.",0.5267,0.688,0.312,0.0,neutral,0.4036,0.5796,0.0167,neutral,0.0467,0.0352,0.0355,0.0086,0.1237,0.0137,0.7366,[],0,[]
live_from_irving_plaza_pre_dropout_era,Live from Irving Plaza,Pre-Dropout era,0,2003,2003-01-01,5,"Woo, woo, woo, mic check, mic check-",0.8519,0.699,0.301,0.0,neutral,0.185,0.7835,0.0315,neutral,0.1079,0.0578,0.0491,0.0499,0.0735,0.2254,0.4364,[],0,[]
live_from_irving_plaza_pre_dropout_era,Live from Irving Plaza,Pre-Dropout era,0,2003,2003-01-01,6,"Golly, more of that bullshit ice rap",-0.6204,0.0,0.596,0.404,negative,0.0139,0.076,0.9101,joy,0.424,0.0421,0.0114,0.0041,0.0591,0.2516,0.2078,[],0,[]
live_from_irving_plaza_pre_dropout_era,Live from Irving Plaza,Pre-Dropout era,0,2003,2003-01-01,7,I got to 'pologize to Mos and Kweli (probably),0.0,0.0,1.0,0.0,neutral,0.0529,0.8338,0.1133,neutral,0.0214,0.0511,0.2368,0.0285,0.1678,0.0351,0.4594,"[[""Mos"", ""PERSON""], [""Kweli"", ""PERSON""]]",2,"[""Mos"", ""Kweli""]"
live_from_irving_plaza_pre_dropout_era,Live from Irving Plaza,Pre-Dropout era,0,2003,2003-01-01,8,But is it cool to rap about gold,0.4497,0.296,0.704,0.0,neutral,0.1671,0.7544,0.0785,neutral,0.1246,0.0448,0.0267,0.0045,0.0238,0.083,0.6926,[],0,[]
live_from_irving_plaza_pre_dropout_era,Live from Irving Plaza,Pre-Dropout era,0,2003,2003-01-01,9,If I told the world I copped it from Ghana and Mali? (Mali!),0.0,0.0,1.0,0.0,neutral,0.186,0.7877,0.0263,surprise,0.044,0.1367,0.0101,0.0105,0.0441,0.4075,0.3471,"[[""Ghana"", ""GPE""], [""Mali"", ""PERSON""], [""Mali"", ""PERSON""]]",3,"[""Mali"", ""Mali""]"
live_from_irving_plaza_pre_dropout_era,Live from Irving Plaza,Pre-Dropout era,0,2003,2003-01-01,10,First nigga with a Benz and a backpack,0.0,0.0,1.0,0.0,neutral,0.2428,0.7154,0.0418,surprise,0.0174,0.0488,0.0063,0.0826,0.0711,0.4366,0.3371,"[[""Benz"", ""ORG""]]",1,[]
live_from_irving_plaza_pre_dropout_era,Live from Irving Plaza,Pre-Dropout era,0,2003,2003-01-01,11,"Ice chain, Carti lens, and a knapsack",0.0,0.0,1.0,0.0,neutral,0.1581,0.8156,0.0263,neutral,0.0157,0.013,0.0179,0.0033,0.0104,0.1028,0.8368,"[[""Carti"", ""ORG""]]",1,[]
live_from_irving_plaza_pre_dropout_era,Live from Irving Plaza,Pre-Dropout era,0,2003,2003-01-01,12,Always said if I rapped I'd say somethin' significant,0.2023,0.184,0.816,0.0,neutral,0.3972,0.5678,0.035,neutral,0.0081,0.0213,0.0087,0.0052,0.0191,0.0142,0.9234,[],0,[]
live_from_irving_plaza_pre_dropout_era,Live from Irving Plaza,Pre-Dropout era,0,2003,2003-01-01,13,"But now I'm rappin' 'bout money, hoes, and rims again",0.0,0.0,1.0,0.0,neutral,0.2565,0.6588,0.0847,neutral,0.0349,0.1171,0.0857,0.0179,0.0868,0.1037,0.5539,[],0,[]
live_from_irving_plaza_pre_dropout_era,Live from Irving Plaza,Pre-Dropout era,0,2003,2003-01-01,14,And it's still about the Benjamins,0.0,0.0,1.0,0.0,neutral,0.0789,0.5469,0.3742,neutral,0.0078,0.0083,0.0089,0.0018,0.0075,0.0293,0.9364,[],0,[]
live_from_irving_plaza_pre_dropout_era,Live from Irving Plaza,Pre-Dropout era,0,2003,2003-01-01,15,Big faced hundreds and whatever other synonyms,0.0,0.0,1.0,0.0,negative,0.0795,0.4356,0.4849,neutral,0.0036,0.1203,0.0418,0.026,0.0558,0.1016,0.6509,[],0,[]
