album,source,vader_compound,vader_pos,vader_neu,vader_neg,roberta_label,roberta_pos,roberta_neu,roberta_neg,emotion_label,emotion_joy,emotion_anger,emotion_sadness,emotion_fear,emotion_disgust,emotion_surprise,emotion_neutral,word_count,unique_words,ttr,mtld,avg_word_len,avg_syllables,flesch_kincaid_grade
The College Dropout,metacritic,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
The College Dropout,pitchfork_original,-0.9762,0.094,0.799,0.108,neutral,0.0559,0.8598,0.0843,fear,0.003,0.2974,0.0129,0.5096,0.0153,0.043,0.1188,1077,596,0.5534,177.7201,4.8793,1.5645,14.54
The College Dropout,pitchfork_retrospective,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
The College Dropout,rolling_stone,0.9538,0.11,0.84,0.05,neutral,0.3179,0.6593,0.0227,neutral,0.1218,0.0142,0.2607,0.0056,0.0368,0.0068,0.5541,310,223,0.7194,256.6809,4.3387,1.4065,13.1
Late Registration,metacritic,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
Late Registration,pitchfork_original,0.9985,0.166,0.761,0.074,neutral,0.0985,0.524,0.3775,neutral,0.0235,0.1502,0.0057,0.0072,0.0235,0.0083,0.7816,843,500,0.5931,197.079,4.8529,1.5884,10.98
Late Registration,pitchfork_retrospective,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
Late Registration,rolling_stone,0.9981,0.158,0.78,0.063,neutral,0.1133,0.6343,0.2524,neutral,0.0048,0.03,0.0069,0.0028,0.0392,0.0171,0.8992,749,428,0.5714,183.1796,4.243,1.4072,11.83
Graduation,metacritic,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
Graduation,pitchfork_original,0.9945,0.111,0.833,0.056,neutral,0.0732,0.5947,0.3322,neutral,0.0142,0.0051,0.0028,0.0053,0.0171,0.0208,0.9347,885,514,0.5808,178.2486,4.922,1.5774,15.35
Graduation,pitchfork_retrospective,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
Graduation,rolling_stone,0.9772,0.131,0.806,0.063,neutral,0.0988,0.6722,0.229,fear,0.009,0.0134,0.0134,0.5901,0.0125,0.0315,0.3301,295,199,0.6746,178.7132,4.3119,1.3864,13.55
808s & Heartbreak,metacritic,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
808s & Heartbreak,pitchfork_original,0.9291,0.091,0.827,0.082,negative,0.0157,0.2078,0.7766,sadness,0.0031,0.0085,0.8675,0.0112,0.0312,0.0112,0.0673,1282,595,0.4641,145.6469,4.383,1.4571,13.23
808s & Heartbreak,pitchfork_retrospective,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
808s & Heartbreak,rolling_stone,0.954,0.141,0.737,0.123,neutral,0.0821,0.5867,0.3312,sadness,0.0019,0.0021,0.9681,0.0036,0.0033,0.0043,0.0166,654,369,0.5642,161.4704,4.5428,1.4572,9.33
My Beautiful Dark Twisted Fantasy,metacritic,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
My Beautiful Dark Twisted Fantasy,pitchfork_original,0.9993,0.139,0.792,0.069,neutral,0.2697,0.7051,0.0252,fear,0.0047,0.0413,0.0214,0.4119,0.3391,0.0596,0.1219,1764,823,0.4666,157.661,4.5573,1.5272,12.26
My Beautiful Dark Twisted Fantasy,pitchfork_retrospective,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
My Beautiful Dark Twisted Fantasy,rolling_stone,0.9943,0.13,0.808,0.063,neutral,0.3006,0.5091,0.1903,neutral,0.1028,0.0513,0.0179,0.0542,0.0235,0.1214,0.629,638,374,0.5862,179.9773,4.4451,1.4655,13.55
Watch the Throne with Jay-Z,metacritic,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
Watch the Throne with Jay-Z,pitchfork_original,0.998,0.152,0.762,0.086,neutral,0.3544,0.5936,0.052,joy,0.4728,0.007,0.0065,0.0024,0.0052,0.2617,0.2445,1063,563,0.5296,166.5949,4.7338,1.5306,12.11
Watch the Throne with Jay-Z,pitchfork_retrospective,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
Watch the Throne with Jay-Z,rolling_stone,0.9943,0.121,0.816,0.063,neutral,0.337,0.6173,0.0457,neutral,0.047,0.0103,0.0143,0.0059,0.0295,0.0132,0.8798,701,391,0.5578,117.2544,4.301,1.3994,15.31
Yeezus,metacritic,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
Yeezus,pitchfork_original,0.9107,0.115,0.781,0.104,neutral,0.1018,0.6981,0.2001,neutral,0.1283,0.2193,0.0119,0.0653,0.0194,0.0179,0.5379,1603,865,0.5396,189.1008,4.7673,1.539,14.15
Yeezus,pitchfork_retrospective,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
Yeezus,rolling_stone,0.9468,0.11,0.802,0.088,neutral,0.0975,0.5133,0.3892,disgust,0.0023,0.1648,0.0225,0.012,0.7247,0.0071,0.0667,652,389,0.5966,165.1331,4.3267,1.4463,14.19
The Life of Pablo,metacritic,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
The Life of Pablo,pitchfork_original,0.9997,0.152,0.78,0.068,neutral,0.1236,0.6676,0.2088,neutral,0.017,0.0278,0.0039,0.0079,0.0287,0.0229,0.8918,2185,947,0.4334,141.4461,4.5094,1.508,14.92
The Life of Pablo,pitchfork_retrospective,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
The Life of Pablo,rolling_stone,0.9976,0.175,0.74,0.085,negative,0.0465,0.3642,0.5892,neutral,0.0107,0.0204,0.1259,0.0064,0.1848,0.0311,0.6207,714,370,0.5182,104.1343,4.1905,1.3627,12.6
ye,metacritic,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
ye,pitchfork_original,0.9848,0.1,0.813,0.087,negative,0.0328,0.3463,0.6209,anger,0.0042,0.4459,0.0123,0.0179,0.2296,0.012,0.278,2001,875,0.4373,150.1191,4.4743,1.5042,14.35
ye,pitchfork_retrospective,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
ye,rolling_stone,0.9965,0.151,0.743,0.106,negative,0.0361,0.3624,0.6015,sadness,0.0098,0.0032,0.7688,0.0238,0.0479,0.0044,0.142,1056,535,0.5066,134.3399,4.267,1.4129,12.85
Kids See Ghosts with Kid Cudi,metacritic,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
Kids See Ghosts with Kid Cudi,pitchfork_original,0.9965,0.119,0.807,0.074,neutral,0.3283,0.4969,0.1748,neutral,0.0323,0.0399,0.0257,0.0031,0.4244,0.0037,0.4708,1216,595,0.4893,156.4246,4.5189,1.4877,12.5
Kids See Ghosts with Kid Cudi,pitchfork_retrospective,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
Kids See Ghosts with Kid Cudi,rolling_stone,0.9976,0.139,0.791,0.07,neutral,0.3181,0.6497,0.0322,neutral,0.0088,0.059,0.0468,0.153,0.0359,0.0217,0.6747,946,539,0.5698,228.3375,4.4556,1.463,13.57
Jesus Is King,metacritic,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
Jesus Is King,pitchfork_original,0.9525,0.066,0.884,0.05,negative,0.0316,0.4303,0.5381,fear,0.0015,0.0048,0.0701,0.905,0.0061,0.0027,0.0097,1303,664,0.5096,144.2741,4.7145,1.6063,15.76
Jesus Is King,pitchfork_retrospective,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
Jesus Is King,rolling_stone,0.9999,0.153,0.796,0.051,neutral,0.1744,0.7873,0.0383,neutral,0.0068,0.0135,0.0094,0.0208,0.0206,0.0115,0.9176,2727,567,0.2079,137.5311,4.6355,1.5787,12.62
Donda,metacritic,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
Donda,pitchfork_original,0.9951,0.116,0.811,0.073,neutral,0.2451,0.6245,0.1304,neutral,0.3338,0.0186,0.0218,0.0068,0.0329,0.0177,0.5682,1111,599,0.5392,174.6934,4.5689,1.5167,13.42
Donda,pitchfork_retrospective,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
Donda,rolling_stone,0.4633,0.099,0.807,0.094,neutral,0.2297,0.734,0.0363,joy,0.4753,0.0705,0.0229,0.0024,0.0873,0.0093,0.3323,1869,803,0.4296,122.191,4.4933,1.5233,14.33
Donda 2,metacritic,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
Donda 2,pitchfork_original,0.9973,0.112,0.821,0.067,neutral,0.212,0.6164,0.1717,fear,0.007,0.0103,0.0057,0.5145,0.0103,0.3356,0.1166,1277,599,0.4691,138.0829,4.3461,1.4683,12.8
Donda 2,pitchfork_retrospective,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
Donda 2,rolling_stone,0.9989,0.122,0.817,0.061,positive,0.5377,0.4212,0.0411,sadness,0.0087,0.002,0.8741,0.0297,0.0097,0.0098,0.066,1693,739,0.4365,138.6039,4.4619,1.4962,10.75
Vultures 1 — ¥$ with Ty Dolla $ign,metacritic,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
Vultures 1 — ¥$ with Ty Dolla $ign,pitchfork_original,0.9944,0.116,0.795,0.089,neutral,0.269,0.6746,0.0564,neutral,0.0067,0.1042,0.1084,0.0637,0.0461,0.0304,0.6406,1346,634,0.471,137.1721,4.6486,1.5691,13.42
Vultures 1 — ¥$ with Ty Dolla $ign,pitchfork_retrospective,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
Vultures 1 — ¥$ with Ty Dolla $ign,rolling_stone,0.9993,0.141,0.795,0.064,positive,0.8404,0.1549,0.0047,joy,0.7791,0.0038,0.0096,0.0011,0.0182,0.0187,0.1695,1694,727,0.4292,118.7695,4.3318,1.4481,11.07
Vultures 2 — ¥$,metacritic,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
Vultures 2 — ¥$,pitchfork_original,-0.5023,0.1,0.803,0.098,neutral,0.4592,0.5324,0.0084,surprise,0.0118,0.0054,0.0036,0.0312,0.0192,0.4887,0.4401,836,484,0.5789,177.1631,4.6411,1.5287,10.6
Vultures 2 — ¥$,pitchfork_retrospective,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
Vultures 2 — ¥$,rolling_stone,0.9982,0.145,0.76,0.095,neutral,0.1697,0.7656,0.0647,anger,0.012,0.4962,0.0178,0.0493,0.2721,0.1066,0.0459,1388,754,0.5432,233.7908,4.6844,1.5742,13.81
Bully,metacritic,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
Bully,pitchfork_original,0.9693,0.119,0.777,0.104,neutral,0.4061,0.5143,0.0796,neutral,0.0127,0.1255,0.025,0.0872,0.1612,0.0032,0.5852,1375,688,0.5004,152.8094,4.3731,1.4829,15.31
Bully,pitchfork_retrospective,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
Bully,rolling_stone,0.9874,0.119,0.806,0.075,neutral,0.0776,0.6547,0.2677,sadness,0.0021,0.0045,0.898,0.0058,0.0395,0.0053,0.0447,814,440,0.5405,163.861,4.5565,1.5418,13.18
