track_id,track_title,era_clean,era_rank,release_date_clean,year,track_type,n_verses,n_lines,sent_mean_compound,sent_median_compound,sent_std_compound,sent_min_compound,sent_max_compound,sent_pct_positive,sent_pct_negative,sent_pct_neutral,sent_mean_pos,sent_mean_neg,word_count,unique_words,ttr,mtld,avg_word_len,avg_syllables,flesch_kincaid_grade,pct_one_syl,pct_three_plus_syl,parser_note
all_falls_down_pre_dropout_era,All Falls Down,Pre-Dropout era,0,2003-07-01,2003,Solo,7,81,0.0559,0.0,0.2898,-0.765,0.802,0.272,0.136,0.593,0.0883,0.0469,726,261,0.3595,34.89,3.84,1.186,1.9,0.833,0.017,
champions_pre_dropout_era,Champions,Pre-Dropout era,0,2003-07-01,2003,Feature,2,21,0.0116,0.0,0.3568,-0.5859,0.7096,0.333,0.333,0.333,0.1378,0.127,185,121,0.6541,105.41,4.01,1.2,2.01,0.854,0.043,
get_by_remix_pre_dropout_era,Get By (Remix),Pre-Dropout era,0,2003-07-01,2003,Feature/Remix,2,37,0.0382,0.0,0.2858,-0.8402,0.6192,0.297,0.162,0.541,0.1114,0.0556,357,207,0.5798,81.05,3.8,1.269,3.15,0.784,0.042,
hold_on_remix_pre_dropout_era,Hold On (Remix),Pre-Dropout era,0,2003-07-01,2003,Feature/Remix,2,18,0.0976,0.0,0.3365,-0.6808,0.7096,0.444,0.111,0.444,0.1479,0.0386,160,104,0.65,19.45,3.51,1.231,2.41,0.85,0.044,
the_good_the_bad_the_ugly_pre_dropout_era,"The Good, The Bad, The Ugly",Pre-Dropout era,0,2003-07-01,2003,Feature,5,65,-0.1015,0.0,0.5284,-0.872,0.7259,0.4,0.431,0.169,0.1851,0.2062,638,217,0.3401,36.74,3.69,1.185,2.22,0.828,0.009,
two_words_pre_dropout_era,Two Words,Pre-Dropout era,0,2003-07-01,2003,Solo,7,54,-0.063,0.0,0.227,-0.6486,0.3612,0.111,0.167,0.722,0.0412,0.0832,331,147,0.4441,33.0,4.22,1.332,2.52,0.755,0.045,
through_the_wire_pre_dropout_era,Through the Wire,Pre-Dropout era,0,2003-09-30,2003,Single,8,81,0.0401,0.0,0.2887,-0.8625,0.6486,0.296,0.16,0.543,0.1373,0.0631,622,301,0.4839,126.88,3.81,1.206,1.63,0.842,0.037,
breathe_in_breathe_out_the_college_dropout,Breathe In Breathe Out,The College Dropout,1,2004-02-10,2004,Solo,6,88,-0.0015,0.0,0.2793,-0.8271,0.5994,0.216,0.205,0.58,0.0767,0.0812,655,284,0.4336,27.88,3.76,1.218,1.69,0.821,0.037,
family_business_the_college_dropout,Family Business,The College Dropout,1,2004-02-10,2004,Solo,9,91,0.1071,0.0,0.2761,-0.6249,0.8207,0.286,0.088,0.626,0.1175,0.028,804,283,0.352,29.94,3.84,1.201,2.03,0.856,0.049,
get_em_high_the_college_dropout,Get 'Em High,The College Dropout,1,2004-02-10,2004,Solo,7,74,0.0019,0.0,0.2781,-0.8271,0.7964,0.149,0.108,0.743,0.0674,0.0436,538,217,0.4033,36.8,3.8,1.173,1.09,0.864,0.024,
intro_the_college_dropout,Intro,The College Dropout,1,2004-02-10,2004,Solo,2,7,0.1206,0.0,0.3191,0.0,0.8442,0.143,0.0,0.857,0.0606,0.0,106,83,0.783,114.4,4.93,1.613,9.35,0.698,0.151,
jesus_walks_the_college_dropout,Jesus Walks,The College Dropout,1,2004-02-10,2004,Solo,6,65,-0.0501,0.0,0.3507,-0.9274,0.631,0.231,0.262,0.508,0.0664,0.1114,541,231,0.427,64.48,3.98,1.251,2.42,0.778,0.022,
last_call_the_college_dropout,Last Call.,The College Dropout,1,2004-02-10,2004,Solo,10,99,-0.0139,0.0,0.31,-0.8402,0.9403,0.212,0.202,0.586,0.0698,0.076,902,373,0.4135,51.44,3.84,1.235,2.54,0.818,0.039,
lil_jimmy_skit_the_college_dropout,Lil Jimmy Skit,The College Dropout,1,2004-02-10,2004,Solo,2,17,-0.0186,0.0,0.2411,-0.5574,0.4588,0.176,0.235,0.588,0.0604,0.0752,186,116,0.6237,94.76,4.18,1.328,4.35,0.78,0.059,
never_let_me_down_the_college_dropout,Never Let Me Down,The College Dropout,1,2004-02-10,2004,Solo,21,101,0.0607,0.0,0.2578,-0.5994,0.744,0.228,0.119,0.653,0.0826,0.0323,645,257,0.3984,24.97,3.65,1.183,0.86,0.848,0.026,
