track_id,track_title,album,kworb_total_streams,kworb_match_score,kworb_fetch_date,billboard_hot100_peak,billboard_hot100_weeks_on_chart,billboard_hot100_debut_date,charted_hot100,riaa_certification,riaa_cert_date,duration_seconds,fetch_timestamp,parser_note
all_falls_down_pre_dropout_era,All Falls Down,Pre-Dropout era,1079981876,100.00,2026-05-10,7,,2004-03-08,True,6x Platinum,,223,2026-05-12T16:42:07Z,
champions_pre_dropout_era,Champions,Pre-Dropout era,319140574,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
get_by_remix_pre_dropout_era,Get By (Remix),Pre-Dropout era,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='Get Em High';best_score=66.67
hold_on_remix_pre_dropout_era,Hold On (Remix),Pre-Dropout era,2065226,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
the_good_the_bad_the_ugly_pre_dropout_era,"The Good, The Bad, The Ugly",Pre-Dropout era,16100967,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
two_words_pre_dropout_era,Two Words,Pre-Dropout era,79731792,100.00,2026-05-10,,,,False,Gold,,,2026-05-12T16:42:07Z,
through_the_wire_pre_dropout_era,Through the Wire,Pre-Dropout era,489592175,100.00,2026-05-10,15,,2003-09-30,True,3x Platinum,,221,2026-05-12T16:42:07Z,
breathe_in_breathe_out_the_college_dropout,Breathe In Breathe Out,The College Dropout,46272017,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
family_business_the_college_dropout,Family Business,The College Dropout,157532692,100.00,2026-05-10,,,,False,Gold,,,2026-05-12T16:42:07Z,
get_em_high_the_college_dropout,Get 'Em High,The College Dropout,73249282,95.65,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
intro_the_college_dropout,Intro,The College Dropout,118578,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
jesus_walks_the_college_dropout,Jesus Walks,The College Dropout,334899383,100.00,2026-05-10,11,,2004-05-25,True,3x Platinum,,193,2026-05-12T16:42:07Z,
last_call_the_college_dropout,Last Call.,The College Dropout,69598017,94.74,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
lil_jimmy_skit_the_college_dropout,Lil Jimmy Skit,The College Dropout,17770520,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
never_let_me_down_the_college_dropout,Never Let Me Down,The College Dropout,100648072,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
school_spirit_the_college_dropout,School Spirit,The College Dropout,49601624,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
slow_jamz_the_college_dropout,Slow Jamz,The College Dropout,304771461,100.00,2026-05-10,1,,2003-11-10,True,3x Platinum,,212,2026-05-12T16:42:07Z,
spaceship_the_college_dropout,Spaceship,The College Dropout,136283981,100.00,2026-05-10,,,,False,Gold,,,2026-05-12T16:42:07Z,
the_new_workout_plan_the_college_dropout,The New Workout Plan,The College Dropout,114919868,100.00,2026-05-10,,,,False,Platinum,,,2026-05-12T16:42:07Z,
we_don_t_care_the_college_dropout,We Don't Care,The College Dropout,131544873,100.00,2026-05-10,,,,False,Gold,,,2026-05-12T16:42:07Z,
workout_plan_the_college_dropout,Workout Plan,The College Dropout,114919868,100.00,2026-05-10,,,,False,Platinum,,,2026-05-12T16:42:07Z,
confessions_part_ii_remix_the_college_dropout,Confessions Part II (Remix),The College Dropout,13748788,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
down_and_out_the_college_dropout,Down and Out,The College Dropout,56855303,100.00,2026-05-10,94,,2005-01-11,True,,,248,2026-05-12T16:42:07Z,
gettin_it_in_the_college_dropout,Gettin' It In,The College Dropout,2256021,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
i_got_a_love_the_college_dropout,I Got a Love,The College Dropout,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='I Love It (& Lil Pump)';best_score=80.00
i_see_now_the_college_dropout,I See Now,The College Dropout,1075297,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
my_baby_the_college_dropout,My Baby,The College Dropout,3343599,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
number_one_the_college_dropout,Number One,The College Dropout,24664494,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,"Chart data for 'Number One' attaches to Pharrell feat. Kanye 2006 release; captured on Late Registration corpus row, not this College Dropout album track."
overnight_celebrity_the_college_dropout,Overnight Celebrity,The College Dropout,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='Celebration';best_score=60.00
selfish_the_college_dropout,Selfish,The College Dropout,78649107,100.00,2026-05-10,55,,2004-03-16,True,,,225,2026-05-12T16:42:07Z,
talk_about_our_love_the_college_dropout,Talk About Our Love,The College Dropout,12744946,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
this_way_the_college_dropout,This Way,The College Dropout,,,,78,,2004-04-12,True,,,246,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='Run This Town';best_score=66.67
anything_late_registration,Anything,Late Registration,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='everything';best_score=66.67
back_like_that_remix_late_registration,Back Like That (Remix),Late Registration,9332730,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
call_some_hoes_late_registration,Call Some Hoes,Late Registration,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='Last Call';best_score=61.54
chi_town_late_registration,Chi-Town,Late Registration,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='Champion';best_score=62.50
crack_music_remix_late_registration,Crack Music (Remix),Late Registration,39304080,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
ghetto_late_registration,Ghetto,Late Registration,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='Ghost Town';best_score=62.50
go_late_registration,Go!,Late Registration,,,,79,,2005-06-14,True,,,224,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='Ego (feat. Kanye West)';best_score=66.67
grown_man_pt_2_late_registration,Grown Man Pt. 2,Late Registration,275903854,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
hold_me_late_registration,Hold Me,Late Registration,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='Hold My Liquor';best_score=72.73
i_see_now_late_registration,I See Now,Late Registration,1075297,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
make_her_feel_good_remix_late_registration,Make Her Feel Good (Remix),Late Registration,8301427,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
more_late_registration,More,Late Registration,322766068,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
