track_id,duration_seconds,line_count,verse_count,word_count,words_per_second,words_per_minute,lines_per_minute,avg_line_length_words,kanye_verse_share,fetch_timestamp
all_falls_down_pre_dropout_era,223.0000,81,7,726,3.255605,195.336300,21.793722,8.962963,1.000000,2026-05-12T16:42:07Z
champions_pre_dropout_era,,21,2,185,,,,8.809524,1.000000,2026-05-12T16:42:07Z
get_by_remix_pre_dropout_era,,37,2,357,,,,9.648649,1.000000,2026-05-12T16:42:07Z
hold_on_remix_pre_dropout_era,,18,2,160,,,,8.888889,1.000000,2026-05-12T16:42:07Z
the_good_the_bad_the_ugly_pre_dropout_era,,65,5,638,,,,9.815385,1.000000,2026-05-12T16:42:07Z
two_words_pre_dropout_era,,54,7,331,,,,6.129630,1.000000,2026-05-12T16:42:07Z
through_the_wire_pre_dropout_era,221.0000,81,8,622,2.814480,168.868800,21.990950,7.679012,1.000000,2026-05-12T16:42:07Z
breathe_in_breathe_out_the_college_dropout,,88,6,655,,,,7.443182,,2026-05-12T16:42:07Z
family_business_the_college_dropout,,91,9,804,,,,8.835165,,2026-05-12T16:42:07Z
get_em_high_the_college_dropout,,74,7,538,,,,7.270270,,2026-05-12T16:42:07Z
intro_the_college_dropout,,7,2,106,,,,15.142857,,2026-05-12T16:42:07Z
jesus_walks_the_college_dropout,193.0000,65,6,541,2.803109,168.186540,20.207254,8.323077,,2026-05-12T16:42:07Z
last_call_the_college_dropout,,99,10,902,,,,9.111111,,2026-05-12T16:42:07Z
lil_jimmy_skit_the_college_dropout,,17,2,186,,,,10.941176,,2026-05-12T16:42:07Z
never_let_me_down_the_college_dropout,,101,21,645,,,,6.386139,,2026-05-12T16:42:07Z
school_spirit_the_college_dropout,,67,8,410,,,,6.119403,,2026-05-12T16:42:07Z
slow_jamz_the_college_dropout,212.0000,44,3,348,1.641509,98.490540,12.452830,7.909091,,2026-05-12T16:42:07Z
spaceship_the_college_dropout,,70,4,373,,,,5.328571,,2026-05-12T16:42:07Z
the_new_workout_plan_the_college_dropout,,129,14,707,,,,5.480620,,2026-05-12T16:42:07Z
we_don_t_care_the_college_dropout,,85,9,649,,,,7.635294,,2026-05-12T16:42:07Z
workout_plan_the_college_dropout,,24,1,161,,,,6.708333,,2026-05-12T16:42:07Z
confessions_part_ii_remix_the_college_dropout,,31,2,231,,,,7.451613,1.000000,2026-05-12T16:42:07Z
down_and_out_the_college_dropout,248.0000,63,4,282,1.137097,68.225820,15.241935,4.476190,1.000000,2026-05-12T16:42:07Z
gettin_it_in_the_college_dropout,,79,5,439,,,,5.556962,1.000000,2026-05-12T16:42:07Z
i_got_a_love_the_college_dropout,,28,5,276,,,,9.857143,1.000000,2026-05-12T16:42:07Z
i_see_now_the_college_dropout,,78,6,592,,,,7.589744,1.000000,2026-05-12T16:42:07Z
my_baby_the_college_dropout,,17,1,146,,,,8.588235,1.000000,2026-05-12T16:42:07Z
number_one_the_college_dropout,,30,4,219,,,,7.300000,1.000000,2026-05-12T16:42:07Z
overnight_celebrity_the_college_dropout,,32,3,200,,,,6.250000,1.000000,2026-05-12T16:42:07Z
selfish_the_college_dropout,225.0000,35,3,195,0.866667,52.000020,9.333333,5.571429,1.000000,2026-05-12T16:42:07Z
talk_about_our_love_the_college_dropout,,20,1,152,,,,7.600000,1.000000,2026-05-12T16:42:07Z
this_way_the_college_dropout,246.0000,43,3,358,1.455285,87.317100,10.487805,8.325581,1.000000,2026-05-12T16:42:07Z
anything_late_registration,,23,2,161,,,,7.000000,1.000000,2026-05-12T16:42:07Z
back_like_that_remix_late_registration,,37,3,258,,,,6.972973,1.000000,2026-05-12T16:42:07Z
call_some_hoes_late_registration,,23,2,169,,,,7.347826,1.000000,2026-05-12T16:42:07Z
chi_town_late_registration,,17,1,157,,,,9.235294,1.000000,2026-05-12T16:42:07Z
crack_music_remix_late_registration,,70,7,497,,,,7.100000,1.000000,2026-05-12T16:42:07Z
ghetto_late_registration,,26,5,164,,,,6.307692,1.000000,2026-05-12T16:42:07Z
go_late_registration,224.0000,44,3,264,1.178571,70.714260,11.785714,6.000000,1.000000,2026-05-12T16:42:07Z
grown_man_pt_2_late_registration,,18,1,160,,,,8.888889,1.000000,2026-05-12T16:42:07Z
hold_me_late_registration,,50,2,378,,,,7.560000,1.000000,2026-05-12T16:42:07Z
i_see_now_late_registration,,78,6,592,,,,7.589744,1.000000,2026-05-12T16:42:07Z
make_her_feel_good_remix_late_registration,,16,1,138,,,,8.625000,1.000000,2026-05-12T16:42:07Z
more_late_registration,,64,4,280,,,,4.375000,1.000000,2026-05-12T16:42:07Z
number_one_late_registration,236.0000,166,7,851,3.605932,216.355920,42.203390,5.126506,1.000000,2026-05-12T16:42:07Z
paid_the_price_late_registration,,23,2,148,,,,6.434783,1.000000,2026-05-12T16:42:07Z
still_dreaming_late_registration,,66,4,354,,,,5.363636,1.000000,2026-05-12T16:42:07Z
tell_me_when_to_go_remix_late_registration,,19,1,161,,,,8.473684,1.000000,2026-05-12T16:42:07Z
they_say_late_registration,,47,5,313,,,,6.659574,1.000000,2026-05-12T16:42:07Z
top_this_late_registration,,20,1,165,,,,8.250000,1.000000,2026-05-12T16:42:07Z
whole_city_behind_us_late_registration,,37,5,292,,,,7.891892,1.000000,2026-05-12T16:42:07Z
wouldn_t_get_far_late_registration,,31,2,227,,,,7.322581,1.000000,2026-05-12T16:42:07Z
addiction_late_registration,,57,15,477,,,,8.368421,,2026-05-12T16:42:07Z
back_to_basics_late_registration,,25,1,158,,,,6.320000,,2026-05-12T16:42:07Z
bring_me_down_late_registration,,26,1,245,,,,9.423077,,2026-05-12T16:42:07Z
celebration_late_registration,,64,8,361,,,,5.640625,,2026-05-12T16:42:07Z
crack_music_late_registration,,62,6,449,,,,7.241935,,2026-05-12T16:42:07Z
diamonds_from_sierra_leone_late_registration,238.0000,77,5,666,2.798319,167.899140,19.411765,8.649351,,2026-05-12T16:42:07Z
diamonds_from_sierra_leone_remix_late_registration,238.0000,52,5,353,1.483193,88.991580,13.109244,6.788462,,2026-05-12T16:42:07Z
drive_slow_late_registration,,79,9,597,,,,7.556962,,2026-05-12T16:42:07Z
gold_digger_late_registration,208.0000,79,13,668,3.211538,192.692280,22.788462,8.455696,,2026-05-12T16:42:07Z
