track_id,track_title,era_clean,era_rank,release_date_clean,year,topic_id
live_from_irving_plaza_pre_dropout_era,Live from Irving Plaza,Pre-Dropout era,0,2003-01-01,2003,0
all_falls_down_pre_dropout_era,All Falls Down,Pre-Dropout era,0,2003-07-01,2003,0
champions_pre_dropout_era,Champions,Pre-Dropout era,0,2003-07-01,2003,0
get_by_remix_pre_dropout_era,Get By (Remix),Pre-Dropout era,0,2003-07-01,2003,0
hold_on_remix_pre_dropout_era,Hold On (Remix),Pre-Dropout era,0,2003-07-01,2003,0
the_good_the_bad_the_ugly_pre_dropout_era,"The Good, The Bad, The Ugly",Pre-Dropout era,0,2003-07-01,2003,0
two_words_pre_dropout_era,Two Words,Pre-Dropout era,0,2003-07-01,2003,0
through_the_wire_pre_dropout_era,Through the Wire,Pre-Dropout era,0,2003-09-30,2003,0
breathe_in_breathe_out_the_college_dropout,Breathe In Breathe Out,The College Dropout,1,2004-02-10,2004,0
family_business_the_college_dropout,Family Business,The College Dropout,1,2004-02-10,2004,0
get_em_high_the_college_dropout,Get 'Em High,The College Dropout,1,2004-02-10,2004,0
intro_the_college_dropout,Intro,The College Dropout,1,2004-02-10,2004,1
jesus_walks_the_college_dropout,Jesus Walks,The College Dropout,1,2004-02-10,2004,0
last_call_the_college_dropout,Last Call.,The College Dropout,1,2004-02-10,2004,0
lil_jimmy_skit_the_college_dropout,Lil Jimmy Skit,The College Dropout,1,2004-02-10,2004,1
never_let_me_down_the_college_dropout,Never Let Me Down,The College Dropout,1,2004-02-10,2004,0
school_spirit_the_college_dropout,School Spirit,The College Dropout,1,2004-02-10,2004,0
slow_jamz_the_college_dropout,Slow Jamz,The College Dropout,1,2004-02-10,2004,0
spaceship_the_college_dropout,Spaceship,The College Dropout,1,2004-02-10,2004,0
the_new_workout_plan_the_college_dropout,The New Workout Plan,The College Dropout,1,2004-02-10,2004,0
we_don_t_care_the_college_dropout,We Don't Care,The College Dropout,1,2004-02-10,2004,0
workout_plan_the_college_dropout,Workout Plan,The College Dropout,1,2004-02-10,2004,0
confessions_part_ii_remix_the_college_dropout,Confessions Part II (Remix),The College Dropout,1,2004-07-01,2004,0
down_and_out_the_college_dropout,Down and Out,The College Dropout,1,2004-07-01,2004,0
gettin_it_in_the_college_dropout,Gettin' It In,The College Dropout,1,2004-07-01,2004,0
i_got_a_love_the_college_dropout,I Got a Love,The College Dropout,1,2004-07-01,2004,0
i_see_now_the_college_dropout,I See Now,The College Dropout,1,2004-07-01,2004,0
my_baby_the_college_dropout,My Baby,The College Dropout,1,2004-07-01,2004,0
number_one_the_college_dropout,Number One,The College Dropout,1,2004-07-01,2004,0
overnight_celebrity_the_college_dropout,Overnight Celebrity,The College Dropout,1,2004-07-01,2004,0
selfish_the_college_dropout,Selfish,The College Dropout,1,2004-07-01,2004,0
talk_about_our_love_the_college_dropout,Talk About Our Love,The College Dropout,1,2004-07-01,2004,0
this_way_the_college_dropout,This Way,The College Dropout,1,2004-07-01,2004,0
anything_late_registration,Anything,Late Registration,2,2005-07-01,2005,0
back_like_that_remix_late_registration,Back Like That (Remix),Late Registration,2,2005-07-01,2005,0
