year,n_tracks,total_words,total_lines,sent_mean,sent_volatility,pct_pos_lines,pct_neg_lines,avg_ttr,avg_mtld,avg_syllables,fk_grade
2003,7,3019,357,0.011,0.33,0.308,0.214,0.502,62.489,1.23,2.263
2004,25,10115,1417,0.051,0.265,0.254,0.141,0.43,49.666,1.221,1.8
2005,41,14172,1987,0.012,0.278,0.221,0.155,0.448,45.846,1.23,1.824
2006,2,485,65,-0.019,0.339,0.212,0.251,0.541,31.125,1.255,2.165
2007,18,7874,1191,0.034,0.292,0.271,0.194,0.429,41.907,1.212,1.509
2008,25,7444,1120,0.06,0.317,0.32,0.203,0.402,35.746,1.238,1.713
2009,16,3434,457,0.023,0.315,0.293,0.21,0.605,71.365,1.249,2.206
2010,18,6274,806,-0.016,0.315,0.242,0.271,0.487,45.274,1.301,3.658
2011,20,6258,754,-0.027,0.327,0.234,0.267,0.524,59.93,1.243,2.287
2012,17,5156,665,-0.055,0.299,0.202,0.253,0.509,51.879,1.306,2.839
2013,24,6824,997,0.003,0.323,0.254,0.229,0.473,41.673,1.27,2.168
2014,2,586,70,-0.096,0.283,0.14,0.314,0.467,47.085,1.297,3.03
2015,2,780,101,0.073,0.261,0.365,0.099,0.432,52.025,1.227,1.805
2016,22,7801,1105,0.033,0.322,0.279,0.205,0.451,39.07,1.257,1.99
2017,4,967,124,0.014,0.349,0.273,0.235,0.507,38.945,1.244,2.595
2018,27,6106,823,0.008,0.337,0.278,0.246,0.514,43.133,1.215,1.715
2019,12,3422,486,0.092,0.248,0.3,0.094,0.46,37.832,1.316,2.716
2020,1,184,22,0.036,0.174,0.182,0.091,0.679,80.16,1.228,2.17
2021,31,10044,1415,0.072,0.256,0.291,0.128,0.431,31.447,1.275,2.264
2022,23,6302,898,0.069,0.283,0.301,0.171,0.42,31.699,1.255,1.991
2024,39,8778,1248,0.014,0.307,0.264,0.222,0.488,41.687,1.231,1.886
2025,15,3887,576,0.022,0.278,0.235,0.171,0.427,43.162,1.263,1.812
2026,6,1416,203,0.014,0.283,0.174,0.168,0.439,34.622,1.294,2.435
