track_id,track_title,era_clean,year,in_canonical_catalog
all_falls_down_pre_dropout_era,All Falls Down,Pre-Dropout era,2003,True
champions_pre_dropout_era,Champions,Pre-Dropout era,2003,True
get_by_remix_pre_dropout_era,Get By (Remix),Pre-Dropout era,2003,True
hold_on_remix_pre_dropout_era,Hold On (Remix),Pre-Dropout era,2003,True
the_good_the_bad_the_ugly_pre_dropout_era,"The Good, The Bad, The Ugly",Pre-Dropout era,2003,False
two_words_pre_dropout_era,Two Words,Pre-Dropout era,2003,True
through_the_wire_pre_dropout_era,Through the Wire,Pre-Dropout era,2003,True
breathe_in_breathe_out_the_college_dropout,Breathe In Breathe Out,The College Dropout,2004,True
family_business_the_college_dropout,Family Business,The College Dropout,2004,True
get_em_high_the_college_dropout,Get 'Em High,The College Dropout,2004,True
intro_the_college_dropout,Intro,The College Dropout,2004,True
jesus_walks_the_college_dropout,Jesus Walks,The College Dropout,2004,True
last_call_the_college_dropout,Last Call.,The College Dropout,2004,True
lil_jimmy_skit_the_college_dropout,Lil Jimmy Skit,The College Dropout,2004,True
never_let_me_down_the_college_dropout,Never Let Me Down,The College Dropout,2004,True
school_spirit_the_college_dropout,School Spirit,The College Dropout,2004,True
slow_jamz_the_college_dropout,Slow Jamz,The College Dropout,2004,True
spaceship_the_college_dropout,Spaceship,The College Dropout,2004,True
the_new_workout_plan_the_college_dropout,The New Workout Plan,The College Dropout,2004,True
we_don_t_care_the_college_dropout,We Don't Care,The College Dropout,2004,True
workout_plan_the_college_dropout,Workout Plan,The College Dropout,2004,True
confessions_part_ii_remix_the_college_dropout,Confessions Part II (Remix),The College Dropout,2004,True
down_and_out_the_college_dropout,Down and Out,The College Dropout,2004,True
gettin_it_in_the_college_dropout,Gettin' It In,The College Dropout,2004,True
i_got_a_love_the_college_dropout,I Got a Love,The College Dropout,2004,True
i_see_now_the_college_dropout,I See Now,The College Dropout,2004,True
my_baby_the_college_dropout,My Baby,The College Dropout,2004,True
number_one_the_college_dropout,Number One,The College Dropout,2004,True
overnight_celebrity_the_college_dropout,Overnight Celebrity,The College Dropout,2004,True
selfish_the_college_dropout,Selfish,The College Dropout,2004,True
talk_about_our_love_the_college_dropout,Talk About Our Love,The College Dropout,2004,True
this_way_the_college_dropout,This Way,The College Dropout,2004,True
anything_late_registration,Anything,Late Registration,2005,True
back_like_that_remix_late_registration,Back Like That (Remix),Late Registration,2005,True
call_some_hoes_late_registration,Call Some Hoes,Late Registration,2005,True
chi_town_late_registration,Chi-Town,Late Registration,2005,True
crack_music_remix_late_registration,Crack Music (Remix),Late Registration,2005,True
ghetto_late_registration,Ghetto,Late Registration,2005,True
go_late_registration,Go!,Late Registration,2005,False
grown_man_pt_2_late_registration,Grown Man Pt. 2,Late Registration,2005,True
hold_me_late_registration,Hold Me,Late Registration,2005,True
i_see_now_late_registration,I See Now,Late Registration,2005,True
make_her_feel_good_remix_late_registration,Make Her Feel Good (Remix),Late Registration,2005,True
more_late_registration,More,Late Registration,2005,True
number_one_late_registration,Number One,Late Registration,2005,True
paid_the_price_late_registration,Paid the Price,Late Registration,2005,True
still_dreaming_late_registration,Still Dreaming,Late Registration,2005,True
tell_me_when_to_go_remix_late_registration,Tell Me When to Go (Remix),Late Registration,2005,True
they_say_late_registration,They Say,Late Registration,2005,True
top_this_late_registration,Top This,Late Registration,2005,False
whole_city_behind_us_late_registration,Whole City Behind Us,Late Registration,2005,True
wouldn_t_get_far_late_registration,Wouldn't Get Far,Late Registration,2005,True
addiction_late_registration,Addiction,Late Registration,2005,True
back_to_basics_late_registration,Back to Basics.,Late Registration,2005,False
bring_me_down_late_registration,Bring Me Down,Late Registration,2005,True
celebration_late_registration,Celebration,Late Registration,2005,True
crack_music_late_registration,Crack Music,Late Registration,2005,True
diamonds_from_sierra_leone_late_registration,Diamonds from Sierra Leone,Late Registration,2005,True
diamonds_from_sierra_leone_remix_late_registration,Diamonds from Sierra Leone (Remix),Late Registration,2005,True
drive_slow_late_registration,Drive Slow,Late Registration,2005,True
