track_id,track_title,era_clean,year,best_kworb_match,best_kworb_score
skit_3_late_registration,Skit #3,Late Registration,2005,Skit #1 (Kanye West/Late Registration),85.71
back_to_basics_late_registration,Back to Basics.,Late Registration,2005,BACK TO ME,82.35
i_got_a_love_the_college_dropout,I Got a Love,The College Dropout,2004,I Love It (& Lil Pump),80.00
i_still_love_h_e_r_808s_heartbreak,I Still Love H.E.R.,808s & Heartbreak,2008,I Love It (& Lil Pump),80.00
alright_post_808s_feature_run,Alright,Post-808s feature run,2009,Daylight (ft. Ye),80.00
dat_side_quiet_year,Dat Side,Quiet year,2017,Side 2 Side (feat. Kayne West & Project Pat),80.00
feel_the_love_wyoming_sessions_ye_ksg,Feel the Love,Wyoming Sessions (ye / KSG),2018,ALL THE LOVE (feat. Andre Troutman),80.00
new_body_wyoming_sessions_ye_ksg,New Body,Wyoming Sessions (ye / KSG),2018,New Day,80.00
the_morning_cruel_summer_yeezus_build_up,The Morning,Cruel Summer + Yeezus build-up,2012,Good Morning,77.78
we_got_love_wyoming_sessions_ye_ksg,We Got Love,Wyoming Sessions (ye / KSG),2018,We Fight/We Love - Remix,77.78
touch_it_watch_the_throne,Touch It,Watch the Throne,2011,Touch The Sky,76.92
sin_city_cruel_summer_yeezus_build_up,Sin City,Cruel Summer + Yeezus build-up,2012,SKY CITY,75.00
nah_nah_nah_jesus_is_king,Nah Nah Nah,Jesus Is King,2019,Jonah,75.00
hold_me_late_registration,Hold Me,Late Registration,2005,Hold My Liquor,72.73
white_dress_cruel_summer_yeezus_build_up,White Dress,Cruel Summer + Yeezus build-up,2012,WHITE LINES (feat. Andre Troutman),72.73
mama_s_boyfriend_post_808s_feature_run,Mama's Boyfriend,Post-808s feature run,2009,MAMAâS FAVORITE,70.97
mission_control_bully_build_up_cuck_iapw_controversy,Mission Control,Bully build-up + Cuck/IAPW controversy,2025,Remote Control,68.97
tell_me_when_to_go_remix_late_registration,Tell Me When to Go (Remix),Late Registration,2005,Take Me to the Light,68.42
get_by_remix_pre_dropout_era,Get By (Remix),Pre-Dropout era,2003,Get Em High,66.67
this_way_the_college_dropout,This Way,The College Dropout,2004,Run This Town,66.67
anything_late_registration,Anything,Late Registration,2005,everything,66.67
